"","record_id","sobbs_1","sobbs_2","sobbs_3","sobbs_4","sobbs_5","sobbs_6","sobbs_7","sobbs_8","sobbs_9","sobbs_10","sobbs_11","sobbs_12","sobbs_13","sobbs_14","isos_1","isos_2","isos_3","isos_4","isos_5","isos_6","isos_7","isos_8","isos_9","isos_10","isos_11","isos_12","isos_13","isos_14","isos_15","mhi_1","mhi_5","mhi_4","mhi_3","mhi_2"
"474",643,3,2,2,4,3,5,5,5,4,2,3,5,2,5,2,3,5,3,2,2,3,3,3,2,2,4,3,3,3,5,4,1,2,2
"475",647,1,5,1,1,1,5,4,4,1,1,2,4,1,5,2,3,4,4,3,3,2,3,3,3,3,2,4,3,3,4,5,3,2,3
"476",650,4,1,2,4,2,4,4,2,2,4,2,1,1,5,1,1,3,3,1,2,1,2,2,1,1,1,2,1,1,2,3,2,4,4
"477",669,2,4,2,4,2,4,4,4,1,1,1,4,2,5,3,4,5,4,3,3,3,3,3,3,2,3,3,1,4,3,4,3,4,4
"478",676,2,2,1,4,2,5,5,5,2,3,2,4,3,4,3,4,5,5,3,2,1,3,1,2,1,3,1,1,2,5,5,1,2,4
"479",677,1,4,2,4,1,5,4,4,1,3,1,5,1,4,2,4,4,4,3,3,5,4,2,3,2,3,2,2,2,3,4,4,5,5
"480",678,1,5,2,4,1,4,5,5,1,1,1,4,1,5,2,1,3,3,2,2,2,1,1,1,1,1,2,1,1,2,3,2,4,5
"481",681,2,1,2,5,3,2,5,4,3,4,3,4,5,4,4,4,4,4,4,2,5,3,2,3,1,2,2,2,1,2,3,5,4,4
"482",682,2,5,2,3,2,3,4,4,1,1,2,4,1,5,2,1,4,2,1,1,3,2,1,1,2,1,1,1,1,3,4,1,5,6
"483",683,1,4,1,4,1,4,4,4,1,1,1,4,1,4,2,3,5,5,5,2,2,4,2,3,2,3,2,2,2,3,3,2,2,5
"484",685,3,4,3,5,2,4,4,4,2,2,2,2,2,4,1,4,4,4,4,2,1,3,2,3,1,1,2,1,1,5,5,3,2,2
"485",687,1,3,2,4,1,3,4,3,2,2,3,2,1,2,3,2,5,4,3,3,3,2,2,2,1,2,2,2,2,5,4,3,4,5
"486",688,2,5,3,5,2,5,5,5,2,4,2,5,4,5,2,3,5,4,2,3,2,2,2,3,3,5,3,3,2,6,5,4,1,3
"487",689,2,5,2,4,2,5,4,3,3,1,2,5,1,5,3,1,4,4,3,3,2,3,3,2,2,2,2,2,3,2,4,4,5,6
"488",690,4,5,4,5,3,4,4,4,2,4,4,2,3,4,3,1,5,5,5,3,1,3,3,3,2,2,2,2,4,4,5,2,2,2
"489",692,3,4,2,4,1,2,4,4,2,3,3,4,5,5,4,4,4,4,2,2,3,4,3,2,3,2,3,2,2,2,4,2,5,6
"490",695,1,1,1,4,1,2,4,2,1,1,1,1,1,2,1,2,3,2,1,2,1,2,2,1,1,1,1,1,1,3,2,4,4,5
"491",698,3,5,2,4,2,5,5,4,2,3,2,5,2,2,3,2,4,4,2,3,1,4,4,2,3,2,2,2,2,4,4,3,4,4
"492",699,1,4,3,5,3,5,5,5,3,1,4,5,1,5,2,4,5,5,4,5,2,5,5,3,3,5,4,4,4,5,6,2,2,1
"493",700,1,5,1,2,1,5,4,4,1,2,1,1,1,1,1,2,3,1,2,1,1,1,1,1,1,2,1,1,1,2,4,3,4,5
"494",703,1,5,1,3,2,5,4,5,2,2,3,5,3,4,2,4,5,5,4,4,3,4,2,3,2,3,3,2,2,4,4,2,4,5
"495",707,4,5,4,3,2,5,4,4,1,4,4,3,3,4,3,2,4,4,3,3,3,3,2,3,3,2,2,2,3,5,5,3,2,2
"496",709,1,5,3,5,2,1,5,3,2,2,3,5,2,3,2,4,5,3,2,2,1,3,2,1,1,2,1,1,1,2,1,6,5,6
"497",711,3,4,2,4,2,4,4,3,2,1,2,3,1,4,2,1,3,2,1,2,3,2,1,1,2,2,1,2,3,4,4,2,3,4
"498",713,4,5,4,3,2,5,5,4,3,3,3,4,3,4,1,2,3,3,2,2,1,1,1,1,1,1,1,1,1,4,3,6,3,4
"499",717,2,1,1,4,1,3,4,4,1,2,3,4,2,4,2,1,3,2,1,2,1,1,1,1,2,1,1,1,1,5,4,3,3,5
"500",718,1,5,1,4,1,5,4,2,3,4,3,4,1,2,2,3,4,4,3,2,2,4,2,4,2,3,2,2,3,3,4,3,5,5
